ruta_legacy,regla,target_slug,target_sku,candidatos
/producto/soft-bounce/,UNRESOLVED,,,profoto-d30 (901070); profoto-b30 (901300); profoto-b20 (901200)
/producto/soft-zoom-reflector-120/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-reflector-magnum (101003); profoto-softbox-rfi-octa-120 (254707)
/producto/soft-zoom-reflector-180/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-reflector-magnum (101003); profoto-softbox-rfi-octa-120 (254707)
/producto/softbox-ocf-13x13-40x40cm/,UNRESOLVED,,,profoto-rfi-grid-40x60 (254773); profoto-softbox-rfi-40x60 (254703); profoto-ocf-ii-grid-10 (101230)
/producto/softbox-ocf-1x3-30x90cm/,UNRESOLVED,,,profoto-softbox-ocf-60x90 (101219); profoto-ocf-ii-grid-10 (101230); profoto-ocf-ii-grid-20 (101231)
/producto/softbox-ocf-2x3-60x90cm/,UNRESOLVED,,,profoto-softbox-ocf-60x90 (101219); profoto-rfi-grid-60x90 (254774); profoto-ocf-ii-grid-10 (101230)
/producto/softbox-ocf-octa-2-60cm/,UNRESOLVED,,,profoto-softbox-ocf-octa-60 (101218); profoto-reflector-zoom (101000); profoto-ocf-ii-grid-10 (101230)
/producto/softbox-rfi-13x2-40x60cm/,UNRESOLVED,,,profoto-rfi-grid-40x60 (254773); profoto-rfi-grid-60x90 (254774); profoto-softbox-rfi-40x60 (254703)
/producto/softbox-rfi-1x13-30x40cm/,UNRESOLVED,,,profoto-rfi-grid-40x60 (254773); profoto-rfi-grid-60x90 (254774); profoto-pro-d3-1250w (901099)
/producto/softbox-rfi-1x3-30x90cm/,UNRESOLVED,,,profoto-rfi-grid-60x90 (254774); profoto-rfi-grid-40x60 (254773); profoto-softbox-rfi-60x90 (254704)
/producto/softbox-rfi-1x4-30x120cm/,UNRESOLVED,,,profoto-rfi-grid-40x60 (254773); profoto-rfi-grid-60x90 (254774); profoto-softbox-rfi-90x120 (254705)
/producto/softbox-rfi-1x6-30x180cm/,UNRESOLVED,,,profoto-rfi-grid-40x60 (254773); profoto-rfi-grid-60x90 (254774); profoto-softbox-rfi-60x90 (254704)
/producto/softbox-rfi-2x2-60x60cm/,UNRESOLVED,,,profoto-rfi-grid-40x60 (254773); profoto-rfi-grid-60x90 (254774); profoto-softbox-rfi-40x60 (254703)
/producto/softbox-rfi-2x3-60x90cm/,UNRESOLVED,,,profoto-rfi-grid-60x90 (254774); profoto-rfi-grid-40x60 (254773); profoto-softbox-rfi-60x90 (254704)
/producto/softbox-rfi-3-octa-90cm/,UNRESOLVED,,,profoto-softbox-rfi-octa-90 (254706); profoto-rfi-grid-octa-120 (254777); profoto-softbox-rfi-octa-120 (254707)
/producto/softbox-rfi-3x3-90x90cm/,UNRESOLVED,,,profoto-rfi-grid-60x90 (254774); profoto-rfi-grid-40x60 (254773); profoto-softbox-rfi-60x90 (254704)
/producto/softbox-rfi-3x4-90x120cm/,UNRESOLVED,,,profoto-softbox-rfi-90x120 (254705); profoto-rfi-grid-40x60 (254773); profoto-rfi-grid-60x90 (254774)
/producto/softbox-rfi-4-octa-120cm/,UNRESOLVED,,,profoto-rfi-grid-octa-120 (254777); profoto-softbox-rfi-octa-120 (254707); profoto-softbox-rfi-octa-150 (254708)
/producto/softbox-rfi-4x6-120x180cm/,UNRESOLVED,,,profoto-rfi-grid-40x60 (254773); profoto-rfi-grid-60x90 (254774); profoto-pro-d3-1250w (901099)
/producto/softbox-rfi-5-octa-150cm/,UNRESOLVED,,,profoto-softbox-rfi-octa-150 (254708); profoto-rfi-grid-octa-120 (254777); profoto-softbox-rfi-octa-120 (254707)
/producto/softlight-blanco/,UNRESOLVED,,,profoto-a10-canon (901220); tether-table-aero (TTETHERAIRBLK); profoto-d30-duo (901070D)
/producto/tapa-protectora-b10-d1-d2/,UNRESOLVED,,,profoto-b10x-duo (901163D); profoto-d30-duo (901070D); profoto-b30-kit-duo (901301)
/producto/tether-table-aero/,A,tether-table-aero,TTETHERAIRBLK,
/producto/tether-tools-organization-case-standard-estuche/,UNRESOLVED,,,tether-tools-organization-case (TTORG-STD); tetherboost-pro-core-controller (TBPROCONT); tetherblock-arca-graphite (TBLKARCGRA)
/producto/tether-tools-tether-t-set-up/,UNRESOLVED,,,tether-t-setup (TTSET); tetherboost-pro-9-4m (TBPRO); tether-table-aero (TTETHERAIRBLK)
/producto/tetherblock-arca-graphite/,A,tetherblock-arca-graphite,TBLKARCGRA,
/producto/tetherblock-graphite/,A,tetherblock-graphite,TBLKGRA,
/producto/tetherboost-pro-31-ft-9-4m-usb-c-cable-system/,UNRESOLVED,,,tetherboost-pro-9-4m (TBPRO); tetherboost-pro-core-controller (TBPROCONT); tetherpro-usb3-usbc-4-6m (CU3C4BLK)
/producto/tetherboost-pro-usb-c-core-controller-extension-cable-orange/,UNRESOLVED,,,tetherboost-pro-core-controller (TBPROCONT); tetherpro-usbc-usbc-right-angle (CUCA15ORG); tether-tools-organization-case (TTORG-STD)
/producto/tetherguard-leverlock-cable-kit-usb-c-to-usb-c-31-9-4metros-straight-to-right-high-visibility-orange/,UNRESOLVED,,,tetherpro-usbc-usbc-right-angle (CUCA15ORG); tetherguard-leverlock-plate (TGLLPLT); tetherpro-usbc-usbc-9-4m (CUCA)
/producto/tetherguard-leverlock-plate/,A,tetherguard-leverlock-plate,TGLLPLT,
/producto/tetherguard-tethering-support-kit/,A,tetherguard-tethering-support-kit,TGLLKIT,
/producto/tetherpro-usb-3-0-to-micro-b-right-angle-15-4-6m-high-visibility-orange/,UNRESOLVED,,,tetherpro-usb30-microb-4-6m (CU3MB15ORG); tetherpro-usbc-usbc-right-angle (CUCA15ORG); tetherpro-usbc-microb-4-6m (CUCMB15ORG)
/producto/tetherpro-usb-3-0-to-usb-c-4-6mts-high-visibility-orange/,UNRESOLVED,,,tetherpro-usbc-usbc-right-angle (CUCA15ORG); tetherpro-usb3-usbc-4-6m (CU3C4BLK); tetherpro-usb30-microb-4-6m (CU3MB15ORG)
/producto/tetherpro-usb-c-to-2-0-mini-b-5-pin/,UNRESOLVED,,,tetherpro-usb30-microb-4-6m (CU3MB15ORG); tetherpro-usbc-microb-4-6m (CUCMB15ORG); tetherpro-usbc-usbc-right-angle (CUCA15ORG)
/producto/tetherpro-usb-c-to-3-0-micro-b-right-angle-15-4-6m-high-visibility-orange/,UNRESOLVED,,,tetherpro-usbc-usbc-right-angle (CUCA15ORG); tetherpro-usb30-microb-4-6m (CU3MB15ORG); tetherpro-usbc-microb-4-6m (CUCMB15ORG)
/producto/tetherpro-usb-c-to-usb-c-31-9-4m-straight-to-right-angle-cable/,UNRESOLVED,,,tetherpro-usbc-usbc-right-angle (CUCA15ORG); tetherpro-usbc-usbc-9-4m (CUCA); tetherpro-usb3-usbc-4-6m (CU3C4BLK)
/producto/tetherpro-usb-c-to-usb-c-right-angle-orange/,UNRESOLVED,,,tetherpro-usbc-usbc-right-angle (CUCA15ORG); tetherpro-usbc-usbc-9-4m (CUCA); tetherpro-usb3-usbc-4-6m (CU3C4BLK)
/producto/zoom-rod-s/,UNRESOLVED,,,profoto-d30 (901070); profoto-a2 (901230); profoto-pro-11 (901900)
/producto/profoto-b7-1000ws/,UNRESOLVED,,,profoto-b10x (901163); profoto-l1600d (902010); profoto-b30 (901300)
/producto/profoto-acute2-2400r/,UNRESOLVED,,,profoto-d2-kit-500 (901012); profoto-pro-d3-1250w (901099); profoto-pro-d3-750w (901097)
/producto/phase-one-iq3-100mp-achromatic/,UNRESOLVED,,,phase-one-xf-iq4-150 (IQ4-150); phase-one-xt-iq4-150 (XT-IQ4-150); phase-one-xc-iq4-150 (XC-IQ4-23)
/producto/tetherpro-usb-2-0-mini-b-8-pin/,UNRESOLVED,,,tetherpro-usb30-microb-4-6m (CU3MB15ORG); tetherpro-usbc-microb-4-6m (CUCMB15ORG); tetherpro-usb3-usbc-4-6m (CU3C4BLK)
/producto/profoto-softbox-rfi-5x7/,UNRESOLVED,,,profoto-softbox-rfi-40x60 (254703); profoto-softbox-rfi-60x90 (254704); profoto-softbox-rfi-90x120 (254705)
